Part ID,Value,Package,Layer,Rotation,MidX,MidY
R1,220R,0402,TOP,90,48.26,10.279
R2,330R,0402,TOP,90,48.26,12.549
R3,220R,0402,TOP,90,46.99,10.279
R4,330R,0402,TOP,90,46.99,12.549
R5,220R,0402,TOP,90,45.72,10.279
R6,330R,0402,TOP,90,45.72,12.549
R7,220R,0402,TOP,90,44.45,10.279
R8,330R,0402,TOP,90,44.45,12.549
R9,220R,0402,TOP,90,43.18,10.279
R10,330R,0402,TOP,90,43.18,12.549
R11,220R,0402,TOP,90,41.91,10.279
R12,330R,0402,TOP,90,41.91,12.549
R13,220R,0402,TOP,90,40.64,10.279
R14,330R,0402,TOP,90,40.64,12.549
R15,220R,0402,TOP,90,39.37,10.279
R16,330R,0402,TOP,90,39.37,12.549
R17,220R,0402,TOP,90,38.1,10.279
R18,330R,0402,TOP,90,38.1,12.549
R19,220R,0402,TOP,90,36.83,10.279
R20,330R,0402,TOP,90,36.83,12.549
R21,220R,0402,TOP,90,35.56,10.279
R22,330R,0402,TOP,90,35.56,12.549
R23,220R,0402,TOP,90,34.29,10.279
R24,330R,0402,TOP,90,34.29,12.549
R25,220R,0402,TOP,90,33.02,10.279
R26,330R,0402,TOP,90,33.02,12.549
R27,220R,0402,TOP,90,31.75,10.279
R28,330R,0402,TOP,90,31.75,12.549
R29,220R,0402,TOP,90,30.48,10.279
R30,330R,0402,TOP,90,30.48,12.549
R31,220R,0402,TOP,90,29.21,10.279
R32,330R,0402,TOP,90,29.21,12.549
R33,220R,0402,TOP,90,27.94,10.279
R34,330R,0402,TOP,90,27.94,12.549
R35,220R,0402,TOP,90,26.67,10.279
R36,330R,0402,TOP,90,26.67,12.549
R37,220R,0402,TOP,90,25.4,10.279
R38,330R,0402,TOP,90,25.4,12.549
R39,220R,0402,TOP,90,24.13,10.279
R40,330R,0402,TOP,90,24.13,12.549
R41,220R,0402,TOP,90,22.86,10.279
R42,330R,0402,TOP,90,22.86,12.549
R43,220R,0402,TOP,90,21.59,10.279
R44,330R,0402,TOP,90,21.59,12.549
R45,220R,0402,TOP,90,20.32,10.279
R46,330R,0402,TOP,90,20.32,12.549
R47,220R,0402,TOP,90,19.05,10.279
R48,330R,0402,TOP,90,19.05,12.549
R49,220R,0402,TOP,90,17.78,10.279
R50,330R,0402,TOP,90,17.78,12.549
R51,220R,0402,TOP,90,16.51,10.279
R52,330R,0402,TOP,90,16.51,12.549
R53,220R,0402,TOP,90,15.24,10.279
R54,330R,0402,TOP,90,15.24,12.549
